pincode,area_sqkm,centroid_lat,centroid_lon,min_lat,min_lon,max_lat,max_lon,n_parts
277124,72.2305,25.963305,83.993711,25.913846,83.948615,26.004300,84.044597,1
277201,56.9056,25.743254,84.438769,25.693419,84.401505,25.785728,84.485746,1
382315,208.408,23.231975,72.919137,23.150983,72.840540,23.321453,73.018356,1
610104,22.5846,10.812186,79.587473,10.787692,79.553634,10.840354,79.621698,1
610105,64.8015,10.882646,79.600130,10.825017,79.554285,10.929072,79.645232,1
635710,150.955,12.525045,78.739688,12.451958,78.662316,12.593924,78.827293,1
670009,20.4719,11.925237,75.326577,11.889437,75.293587,11.951574,75.353462,1
635751,46.3826,12.685591,78.640576,12.655086,78.587901,12.725153,78.685463,1
326034,439.7489,24.135593,76.017886,24.021463,75.890751,24.222909,76.139717,1
535125,140.5484,18.273572,83.628233,18.198890,83.574440,18.344553,83.701728,1
326035,342.2946,24.573547,76.469295,24.459509,76.363044,24.682888,76.590728,1
535126,61.4108,18.483952,83.522025,18.432985,83.470577,18.534889,83.562210,1
635752,85.1374,12.634491,78.682237,12.587648,78.608469,12.678001,78.736961,1
277202,80.3693,25.896380,84.231052,25.827462,84.203997,25.964558,84.305441,1
535160,78.4738,18.181288,83.194143,18.120515,83.135681,18.260483,83.253215,1
679302,12.9414,10.765687,76.468402,10.747702,76.444299,10.782418,76.490608,1
624308,120.2602,10.239607,78.117447,10.183529,78.045102,10.300843,78.187202,1
624401,403.3406,10.225356,78.225001,10.066319,78.131674,10.381553,78.328630,1
585417,181.1717,18.212064,77.201864,18.137318,77.130333,18.303475,77.280624,1
635754,63.2429,12.735638,78.595786,12.683041,78.557228,12.787031,78.639121,1
624703,78.6132,10.684520,78.061875,10.640283,78.007507,10.723290,78.113443,1
494347,656.8581,20.022378,81.771170,19.854974,81.635725,20.169800,81.886977,1
326501,161.6756,24.504148,75.992827,24.400038,75.893860,24.577892,76.065462,1
382320,78.1171,23.321486,72.700945,23.274011,72.653003,23.371843,72.749804,1
624704,53.1922,10.596309,77.841493,10.554763,77.801963,10.638894,77.879643,1
624708,53.6065,10.253285,77.825480,10.206650,77.785659,10.299406,77.865889,1
440013,21.3163,21.178485,79.037873,21.156648,78.994048,21.209392,79.079726,1
635805,68.3692,12.872546,78.776399,12.824846,78.724166,12.906314,78.838985,1
326502,251.2151,24.417860,75.887930,24.343090,75.751198,24.492763,76.005038,1
326510,22.7428,24.840006,75.830736,24.808273,75.807308,24.872969,75.848528,1
700001,2.932,22.575328,88.346611,22.565333,88.336179,22.585384,88.356864,1
635806,35.8883,12.917819,78.868754,12.888652,78.817709,12.941629,78.937296,1
585418,135.985,17.892869,77.134890,17.841824,77.045029,17.943335,77.221281,1
326514,516.6058,23.967697,75.856069,23.850050,75.725238,24.107498,75.983597,1
700004,1.8157,22.599778,88.374983,22.594135,88.365036,22.608156,88.385395,1
635807,119.2918,12.704253,78.713755,12.640034,78.611839,12.751928,78.780332,1
608001,54.1252,11.444399,79.761950,11.403558,79.723173,11.491618,79.810782,1
635808,27.7771,12.843256,78.720545,12.807035,78.688971,12.875083,78.752077,1
535215,98.0993,18.140537,83.284539,18.066446,83.225006,18.209086,83.332107,1
535220,68.5638,18.264335,83.462540,18.208371,83.420380,18.315889,83.508205,1
535221,32.5679,18.191782,83.246567,18.157273,83.212425,18.226934,83.269355,1
326515,389.8046,23.906964,75.571974,23.756848,75.457222,24.045013,75.700317,1
700022,2.2289,22.549569,88.328227,22.539911,88.321508,22.559441,88.340697,1
591222,167.0178,16.369613,74.853837,16.314142,74.769753,16.434072,74.935171,1
585217,327.772,17.288652,76.183300,17.182726,76.066490,17.376463,76.278540,1
591223,43.9605,16.683782,74.714737,16.649027,74.666394,16.718292,74.745675,1
303005,713.3362,26.562424,75.529808,26.439360,75.333764,26.697667,75.676432,1
585218,191.4327,16.901624,76.978060,16.809570,76.902458,16.988158,77.057350,1
585219,8.7887,16.263096,76.388786,16.250054,76.365334,16.277242,76.408107,1
680586,84.488,10.669304,76.366130,10.595325,76.302132,10.746078,76.430161,1
585220,16.978,16.571638,76.724555,16.551948,76.697159,16.590017,76.749650,1
591311,105.1349,16.609210,74.883913,16.555610,74.807106,16.656233,74.962574,1
625001,4.5987,9.916424,78.119345,9.900658,78.108838,9.933081,78.130049,1
441210,602.2464,20.963698,79.518895,20.816729,79.367723,21.110106,79.660919,1
680642,1.26,10.443985,76.127690,10.438726,76.119559,10.449696,76.135823,1
625004,9.1579,9.908625,78.072619,9.886752,78.055368,9.935591,78.091538,1
303006,264.074,26.537969,75.709136,26.445300,75.625932,26.630701,75.796877,1
303009,395.834,26.701990,75.425282,26.602866,75.294347,26.796008,75.562089,1
303010,27.2504,26.810861,75.361636,26.787199,75.333129,26.841567,75.390706,1
303012,370.4588,26.877571,75.979762,26.768842,75.855724,26.996194,76.082959,1
700023,4.1132,22.538223,88.321343,22.525165,88.312217,22.555666,88.334717,1
575015,12.4111,12.945745,74.851889,12.910432,74.833549,12.977237,74.867658,1
796730,828.5735,22.836082,92.627653,22.551395,92.516131,23.100661,92.779405,1
591312,171.5917,16.320304,74.961487,16.240221,74.872518,16.391054,75.042893,1
796751,612.9026,22.965804,92.456005,22.730626,92.349876,23.202263,92.570244,1
326516,218.4885,23.928508,75.674265,23.812249,75.575304,24.029722,75.745753,1
494441,752.7916,19.035284,81.360886,18.900414,81.202645,19.167665,81.529640,1
534198,125.9616,16.696183,81.425874,16.648435,81.315575,16.744089,81.501059,1
